Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,38,13116,10490,3532,347,2130,47,496,2060,0,3
Q:\dev\battlerofl\battlerofl,38,13116,10490,3532,347,2130,47,496,2060,0,3
Q:\dev\battlerofl\battlerofl\Classes,8,2144,1837,1224,266,170,28,137,716,0,0
Q:\dev\battlerofl\battlerofl\Pages,6,1423,1184,569,33,192,3,47,213,0,0
Q:\dev\battlerofl\battlerofl\Properties,3,202,117,47,8,28,4,57,355,0,2
Q:\dev\battlerofl\battlerofl\Themes,1,3214,3060,0,0,150,0,4,22,0,0
Q:\dev\battlerofl\battlerofl\obj,14,5826,4044,1571,27,1555,1,227,628,0,1
Q:\dev\battlerofl\battlerofl\obj\x86,14,5826,4044,1571,27,1555,1,227,628,0,1
Q:\dev\battlerofl\battlerofl\obj\x86\Debug,14,5826,4044,1571,27,1555,1,227,628,0,1
Q:\dev\battlerofl\battlerofl\obj\x86\Debug\Pages,6,3712,2608,980,12,1014,0,90,252,0,0
